question,document
"Can I change the AI provider in Kestra flows, like from OpenAI to Gemini or Anthropic, without rewriting the flow?",cce328db64
"Can I use Groq or Ollama with Kestra, or is it Gemini-only?",f442efe5b4
Which AI providers work in Kestra besides Gemini?,f442efe5b4
Does Kestra support local models like Ollama or LM Studio?,f442efe5b4
How do I switch Kestra from Gemini to another model provider?,f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the provider-specific plugins?,f442efe5b4
Can I build a Kestra flow without typing YAML or writing code at all?,bfe5502c30
Is there a no-code way in Kestra like a form editor instead of editing workflow files?,bfe5502c30
How does the AI Copilot in Kestra help if I want to create a flow from plain English?,bfe5502c30
"Can I use Claude Code, Codex, or Kestra CTL to create Kestra workflows from my editor and send them straight to Kestra?",bfe5502c30
"For simple automations, should I use Kestra or is something like Zapier/n8n easier and cheaper?",bfe5502c30
Why does ChatGPT sometimes invent Kestra plugin fields like bucket or name in flow YAML?,93a3e8b98c
How do I know the YAML generated for Kestra is using the real plugin properties for my version?,93a3e8b98c
What is the correct way to write a GCS upload step in Kestra instead of using separate bucket and name fields?,93a3e8b98c
"In BigQuery load from GCS, why is destinationTable used instead of projectId, dataset, and table separately?",93a3e8b98c
What’s the best way to check Kestra YAML before running it so I don’t get invalid plugin properties?,93a3e8b98c
Why do we bother checking token usage in Kestra flows if the model is already running fine?,a4adc70f41
How does tracking tokens help with keeping LLM costs under control in scheduled or looping workflows?,a4adc70f41
What’s the point of looking at token counts for each prompt and response in a workflow?,a4adc70f41
Can Kestra use token usage data to stop a flow from getting too expensive?,a4adc70f41
"Where do you actually get the token numbers from in a Kestra AI task, and how can you use them?",a4adc70f41
"Why does Docker Desktop say mounts denied when I try to run Kestra with a path under /tmp, and what should I change in the settings?",dd8b4c9fda
How can I allow Docker Desktop to use /tmp or /tmp/kestra-wd so my container can mount it without that shared path error?,dd8b4c9fda
What do I do in Docker Desktop if docker compose up -d fails because the host folder I’m mounting is not shared?,dd8b4c9fda
Is there a way to fix the 'path ... is not shared from the host' message in Docker Desktop without changing my compose file?,dd8b4c9fda
"After I add /tmp to Docker Desktop file sharing, do I need to restart anything before starting Kestra again?",dd8b4c9fda
"For the Module 3 Kestra homework, what am I supposed to put in the public repo link if I did everything in the Kestra UI and not in normal code files?",f29f622684
"Do I need to upload the actual Kestra flow YAMLs for Module 3 homework, or is a README with my answers enough?",f29f622684
"If I changed any scripts that my Kestra flows use, should those go in the homework repo too?",f29f622684
Where should I place the Kestra flow files in the repo before submitting the Module 3 assignment?,f29f622684
"Are the written homework answers for Module 3 supposed to go in the GitHub repo, or do I enter them somewhere else?",f29f622684
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output with `json.loads()`?,a3c7e1b4f9
"How can I make the model return valid JSON only, without markdown fences or extra explanation?",a3c7e1b4f9
What should I pass to OpenAI so the chat completion response comes back as a JSON object instead of plain text?,a3c7e1b4f9
What exact prompt wording helps when I need the LLM to produce a JSON object with 5 question strings?,a3c7e1b4f9
"Is there a provider-specific way to force JSON output with Gemini, Groq, or other APIs too?",a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in the evaluation notebook?,b8f2d6a30c
Is there a smaller embedding model I can use for Module 4 if my laptop or Codespaces runs out of memory?,b8f2d6a30c
"If I switch from one embedder to another, do I need to run the evaluation metrics again?",b8f2d6a30c
What’s the best way to avoid memory issues in the notebook when embedding a big ground-truth dataset?,b8f2d6a30c
Can I handle the embeddings in batches or from a separate script so the notebook doesn’t die?,b8f2d6a30c
Why am I still hitting Gemini limits even after adding `time.sleep(4)` between requests?,c1e9f4b820
What’s a cheap alternative to Gemini for generating the ground-truth data in this module?,c1e9f4b820
"Can I use Groq for the evaluation dataset, and which model should I try?",c1e9f4b820
How do I avoid blowing through the API quota when using a thread pool?,c1e9f4b820
"If the run gets rate-limited halfway through, what’s the easiest way to continue without starting over?",c1e9f4b820
How do I fix the WinError 126 fbgemm.dll error on Windows when importing torch?,15e931476c
Do I need Visual C++ Redistributable to solve the missing fbgemm.dll problem in PyTorch?,15e931476c
Will installing Visual Studio instead of Visual Studio Code help with the torch\lib\fbgemm.dll missing module error?,15e931476c
What should I do if Python says it can't load fbgemm.dll or one of its dependencies on Windows?,15e931476c
Is there a known fix for the OSError: [WinError 126] when PyTorch fails to find fbgemm.dll in Windows?,15e931476c
"How do I fix the psycopg2 OperationalError saying it can't translate host name ""postgres"" when I run `python prep.py`?",4b65d5542d
"My script is failing with `could not translate host name ""postgres"" to address`; what should I change in the `.env` file?",4b65d5542d
"When `prep.py` throws a PostgreSQL host resolution error, should `POSTGRES_HOST` be set to `postgres` or `localhost`?",4b65d5542d
What is the quickest fix for the `No such host is known` error from psycopg2 in this setup?,4b65d5542d
"If Docker/Postgres hostname lookup fails during `python prep.py`, how can I update the environment config to make it work?",4b65d5542d
How can I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
"In the offline-rag-evaluation notebook, how do I display the whole Explanation from the judge LLM?",641aedbbf5
"What setting do I use in Pandas to avoid the ""..."" when a text column is too long?",641aedbbf5
"Why is my column text getting truncated to 50 chars in Pandas, and how can I change that?",641aedbbf5
Is there a way to set Pandas so it prints unlimited column width for long text?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What's the easiest way to make each vector in a Pandas Series have unit length?,5039707c1a
Can I use np.linalg.norm to normalize values inside a DataFrame column?,5039707c1a
How do I create a new column with normalized vectors from an existing column in pandas?,5039707c1a
Is there a simple apply-based way to normalize vectors in a pandas column?,5039707c1a
How do I get the 75th percentile from a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to calculate a quantile for a Series?,b4c8ac5a0c
How can I find the 0.75 quantile of a column in pandas?,b4c8ac5a0c
Is there a simple method to compute percentiles in a DataFrame column?,b4c8ac5a0c
How do I use pandas to return the 75% percentile value?,b4c8ac5a0c
"What’s the quickest terminal command to force-remove every Docker container, even the ones still running?",66ccbb7da0
How do I clear out all Docker images from my machine using the command line?,66ccbb7da0
Is there a simple way to delete every Docker volume with one terminal command?,66ccbb7da0
"If I want a full Docker cleanup, what commands should I run to remove containers, images, and volumes?",66ccbb7da0
How can I wipe my Docker environment from the terminal without deleting things one by one?,66ccbb7da0
"How can I make sure a Streamlit user can only leave one feedback vote, like +1 or -1, per submitted answer?",2e729f1271
Why does my `st.session.submitted` flag keep getting set back to True after I click a feedback button in Streamlit?,2e729f1271
"In Streamlit, how do I disable the feedback buttons after the ask button is used and the submission state changes?",2e729f1271
My session state in Streamlit seems to be reassigned somewhere else after feedback is clicked — what’s the usual fix for that?,2e729f1271
Is there a known Streamlit Discuss thread for the issue where session attributes get reset and feedback buttons act weird after submission?,2e729f1271
"Why do I get `exec: ""streamlit"": executable file not found in $PATH` when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What do I need to add or change in my Docker setup if docker-compose can’t find the `streamlit` command?,e8df9f0d12
Do I have to create a Dockerfile first before running a Streamlit app with docker-compose?,e8df9f0d12
"After fixing my compose file for a Streamlit app, what’s the right command to rebuild and launch everything again?",e8df9f0d12
My Streamlit app runs outside Docker but fails in docker-compose with an OCI/runc error — what’s the usual fix?,e8df9f0d12
"Can we do the capstone as a group, or does every student need to submit their own project?",0fab61eca2
"If two people work on the same idea, is that allowed for the capstone?",0fab61eca2
Could I share a system with classmates if each of us builds a different part?,0fab61eca2
Do we need separate repos for each person's capstone submission?,0fab61eca2
"If the project can't be graded separately for each student, does it still count?",0fab61eca2
"Do I need to turn in two capstone projects, or is one project enough?",d5fc98925d
What do attempt 1 and attempt 2 mean for the capstone submission?,d5fc98925d
"If my first capstone submission doesn’t pass, can I fix it and submit again later?",d5fc98925d
"Can I submit two different capstone projects just to practice, and if so do they need to be on different data and problems?",d5fc98925d
"If I miss the first submission window, can I still submit in the second one and stay on track for certification?",d5fc98925d
"Can I use the competition instead of the capstone project, or are they separate?",e892d44e42
"If I join the math-kaggle-llm-competition, does that count toward the capstone requirement?",e892d44e42
"Is the capstone in this course supposed to be done by myself only, or can it be a team effort?",e892d44e42
Are we allowed to participate in the math-kaggle-llm-competition with a group even though the capstone is individual?,e892d44e42
"Does being in the competition replace the capstone, or do I still need to complete the capstone separately?",e892d44e42
How will my capstone project be graded in the course?,9a2e2d2008
Who reviews the project after I submit it?,9a2e2d2008
Do I have to grade other students’ capstone projects too?,9a2e2d2008
What happens if I don’t review the required number of peer projects?,9a2e2d2008
Is the final capstone score based on all peer reviews or just one of them?,9a2e2d2008
"After the submission deadline, how are the projects for review/grading assigned to each participant?",eae0fb50aa
When do we get the list of projects we need to review in the capstone project?,eae0fb50aa
How many projects will each participant be assigned once submissions close?,eae0fb50aa
"Will there be an Excel sheet with the projects to grade, and when is it shared?",eae0fb50aa
What happens after the capstone project submission deadline regarding peer review assignments?,eae0fb50aa
"I already turned in my capstone project, but why don’t I see any projects to review yet?",a8a7fef016
"After the submission deadline ends, how do the project review assignments work?",a8a7fef016
Can I pick which projects I want to evaluate in the capstone project?,a8a7fef016
Is it possible to start reviewing projects before the assigned list is published?,a8a7fef016
I submitted my project already — when should I expect review tasks to appear?,a8a7fef016
Where can I find a few project ideas and datasets for the capstone?,e76a70cde3
"Is there a GitHub page with tips, guidelines, and dataset ideas for the project?",e76a70cde3
I'm looking for possible datasets for the capstone project — where should I check?,e76a70cde3
Do you have a page that lists example ideas and datasets I can use for the project?,e76a70cde3
What’s the best place to get inspiration and data options for the capstone project?,e76a70cde3
"Do I need to use Airflow, Mage, or Kestra for the capstone ingestion pipeline, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion and indexing steps in a Jupyter notebook, can I still get full points for that part of the project?",d4f7c08ea1
When would it make sense to add an orchestration tool to the capstone instead of just writing a script?,d4f7c08ea1
"Is an orchestrator required to score the ingestion pipeline criterion, or is it optional?",d4f7c08ea1
"Should I use an orchestration tool only if my project has recurring daily ingestion, or is it better to add one just for the rubric?",d4f7c08ea1
How can I evaluate a recommender-style RAG project when I don't have obvious question-answer ground truth?,9b0e2d6a47
What's a good way to create synthetic ground truth for retrieval evaluation in a recommender system?,9b0e2d6a47
"Should I use an LLM as a judge to score the end-to-end quality of my RAG outputs, and how would that work?",9b0e2d6a47
"For ranking-style RAG problems where several items could be fine, is NDCG a better metric than hit rate?",9b0e2d6a47
How would I measure retrieval quality for each item if I generate user queries from its description first?,9b0e2d6a47
What chunking setup should I start with if my PDFs are really long and have tons of paragraphs?,6f2a8b3d10
"Is it worth trying to make the perfect chunk splitter first, or should I just test a basic approach and improve it later?",6f2a8b3d10
"For big structured docs like legal or finance PDFs, should I use semantic search only, or mix it with BM25 too?",6f2a8b3d10
How can I chunk long documents more intelligently than just fixed token windows?,6f2a8b3d10
Do you know any good tools for turning PDFs into cleaner markdown before I split them into chunks?,6f2a8b3d10
"What does reproducibility mean for the project review, and do I need to give reviewers my API keys?",e5d8a2c761
How should I let someone rerun my capstone from scratch without exposing any credentials?,e5d8a2c761
"Do I need to commit a real .env file, or should I only include an example one?",e5d8a2c761
What kind of script should I add so the dataset and search index can be rebuilt locally?,e5d8a2c761
Which versions or tools should I pin in the repo so the setup works the same for other people?,e5d8a2c761
"Can I do the homework and capstone in a language other than Python, like JavaScript or Go, or do I need to stick with Python?",ea815eb858
"If I use Rust, Java, Scala, C#, or R instead of Python for the project, is that allowed for the course?",ea815eb858
How strict is the Python requirement for the homework and final project in this course?,ea815eb858
What do I need to include in the README if I submit the capstone in a non-Python stack?,ea815eb858
"If I build the project with another language, how detailed should the install and run instructions be for the reviewer?",ea815eb858
Where can I look at earlier LLM Zoomcamp capstone submissions?,930286278d
Is there a page with past LLM Zoomcamp projects I can browse?,930286278d
Can I see examples of projects from previous LLM Zoomcamp cohorts?,930286278d
Where are the 2024 and 2025 LLM Zoomcamp project links?,930286278d
How can I check submitted LLM Zoomcamp capstone repositories from past years?,930286278d
Do I need to reserve or announce my capstone project idea before I start?,897a350476
"Can I just pick a project topic on my own, or do I have to get it approved first?",897a350476
"Is it okay if my project is similar to someone else’s previous idea, or does it need to be totally unique?",897a350476
Where should I ask if I want feedback on my capstone project idea?,897a350476
Should I look at past LLM Zoomcamp projects to figure out the right scope for my own project?,897a350476
Can I build my capstone as a Telegram or WhatsApp bot instead of a web app?,7318a90b14
"Is there any rule that says the project has to be a website, or can I use a CLI or Slack app too?",7318a90b14
"For the capstone, do I have to follow a specific user interface format, or can I choose whatever fits my idea?",7318a90b14
Does the course provide guidance on how to make the project available through something like a bot or notebook?,7318a90b14
"If I use a different interface for the project, what matters most for evaluation?",7318a90b14
"What do people usually use to pull text out of PDFs for a RAG app, especially if the files are scanned?",d8b28c47a0
"Is there a recommended library in the course for PDF text extraction, or can I choose whatever works best?",d8b28c47a0
Which tools are good if I want Markdown or structured output from PDFs for retrieval?,d8b28c47a0
What should I use for OCR when a PDF is just images and doesn’t have selectable text?,d8b28c47a0
"Are hosted OCR APIs a good option for document extraction, and how do I decide which tool gives the cleanest text?",d8b28c47a0
"Can I use the workshop content in my own capstone project, or is it only for the class work?",d850a0e7ea
"Since dlt is open-source, am I allowed to reuse these materials in other projects too?",d850a0e7ea
Would it be okay to use this workshop stuff for an MLOps Zoomcamp project or something similar?,d850a0e7ea
"If I have questions while using dlt in my own project, can I ask about it, or is that not supported?",d850a0e7ea
Is it fine to take the workshop materials and apply them directly in my own data pipeline project?,d850a0e7ea
How do I create a new dlt project for loading files from cloud storage?,6bceeebf04
What command should I run to start a fresh dlt setup with filesystem and DuckDB?,6bceeebf04
I'm trying to load data from the cloud with dlt — what's the init command?,6bceeebf04
How can I initialize a dlt project using the filesystem source and duckdb destination?,6bceeebf04
Where do I begin if I want to set up dlt for cloud data ingestion?,6bceeebf04
"Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I run `db.open_table(""notion_pages___homework"")`?",0407213397
What should I check if the table name says `notion_pages___homework` but it still tells me to create the table first?,0407213397
"I changed part of my dlt pipeline, but opening the homework table fails — could I have missed some `employee_handbook` reference somewhere?",0407213397
How do I fix the `Table notion_pages___homework does not exist` error in the open-source data ingestion workshop?,0407213397
"If `db.open_table(""notion_pages___homework"")` throws a missing table error, what setting name is probably still wrong in my pipeline?",0407213397
Why am I getting `FileNotFoundError: Table notion_pages___homework does not exist` when I run `main()`?,e95bfafc0e
What table name should I open in line 3 instead of creating a new one?,e95bfafc0e
"How do I fix the error about `db.create_table(notion_pages___homework, data)` not being called?",e95bfafc0e
"In the dlt homework, which table should `db.open_table(...)` point to?",e95bfafc0e
My script says the table doesn't exist — what should the `dbtable` line look like?,e95bfafc0e
How can I see what tables exist in the database?,e394e6f738
What method do I use to get a list of all tables in the db?,e394e6f738
Is there a quick way to check table names in the database?,e394e6f738
How do I list every table that's currently in the database?,e394e6f738
Which dlt/db function shows the available tables?,e394e6f738
Does dlt support ClickHouse or StarRocks connectors yet?,cd19f122f3
Is there any built-in connector for ClickHouse in dlt?,cd19f122f3
Can I use dlt with StarRocks right now?,cd19f122f3
"If dlt doesn't have ClickHouse or StarRocks connectors, can the community add them?",cd19f122f3
"Are ClickHouse and StarRocks on the list of dlt connectors, or not yet?",cd19f122f3
"Why am I getting a 401 Unauthorized error when the notebook calls the Notion search endpoint, and how do I fix the access issue?",0dfba07ace
My notebook says it doesn’t have secret access for api.notion.com/v1/search — is this usually a bad token or permissions problem?,0dfba07ace
What should I check first if Notion API requests from the workshop notebook keep failing with Unauthorized?,0dfba07ace
"Could an expired or wrong API key cause the notebook to lose access to Notion, and how can I verify that?",0dfba07ace
I’m seeing an auth error with the Notion search API in the dlt workshop notebook — what configs or endpoint settings might be wrong?,0dfba07ace
How do I install the newer requests version from the GitHub source zip if pip keeps giving me 2.28?,4b30b918bc
What command should I use to force requests v2.32.3 instead of the older version for lancedb?,4b30b918bc
Why am I getting a 401 Client Error when trying to use the requests package in this setup?,4b30b918bc
Is there a way to bypass the default requests install and pull the exact release zip directly?,4b30b918bc
What’s the fix for the requests version mismatch when lancedb needs a newer release?,4b30b918bc
